id,latitude,longitude,zip,city,name,website,address,address_2,state,phone,email,notes
1,34.64319040,-120.44678440,93436,Lompoc,,,325 N. Second Street,,CA,(805) 736-6226,,
2,34.39727100,-119.51716040,93013,Carpinteria,,,941 Walnut Avenue,,CA,(805) 684-8621,,
3,34.42281640,-119.71366820,93101,Santa Barbara,test123,www.recover123.test,1532 Castillo Street,123,CA,(805) 364-2727,123@test.com,123
8,34.42911850,-119.68821400,93103,Santa Barbara,,,721 Spring Street,,CA,(805) 455-4568,,
10,34.42845980,-119.70181170,93101,Santa Barbara,,,327 E. Victoria Street,,CA,(805) 882-2294,givingtreesaplings@yahoo.com,
11,34.41503000,-119.71157000,93101,Santa Barbara,,,1107 San Andres Street,,CA,(805) 617-9893,,
12,34.42683040,-119.71995810,93105,Santa Barbara,New House Grad House,,2021 Castillo Street,,CA,(805) 563-6050,,
13,34.41995990,-119.69254740,93101,Santa Barbara,New House II,,227 W. Haley Street,,CA,(805) 962-8248,,
14,34.43233370,-119.72421160,93105,Santa Barbara,New House III,, 2434 Bath Street,,CA,(805) 563-6050,,
15,34.42318110,-119.71244640,93101,Santa Barbara,,,1515 Bath Street,,CA,(805) 966-1260,recovery@casaserena.org,
16,34.64303090,-120.47140570,93436,Lompoc ,,,1100 W Laurel Avenue,,CA,(805) 737-7080,,
17,34.44447640,-119.77873980,93110,Santa Barbara ,,,234 Camino del Remedio,,CA,(805) 681-4401,,
18,34.41915370,-119.68458920,93103,Santa Barbara,,,535 E. Yanonali Street,,CA,(805) 966-1316,,
19,34.42177730,-119.69750290,93102,Santa Barbara,,,P.O. Box 446,,CA,(805) 965-4989,,
20,34.41645690,-119.71343610,93101,Santa Barbara,Men's House,,1227 San Andres St,,CA,(805) 965-4989,,Dual diagnosis sober living home for men. Cost: $200/week AND $150 deposit 
21,34.42520190,-119.68687640,93103,Santa Barbara ,Men's House(Kelly James Berger),,731 E Haley St,,CA,(805) 451-2461,,Sober living home for men. 
22,34.43012170,-119.71516150,93101,Santa Barbara,Women's House(Sarah Ringler),,23 W Mission St,,CA,(805) 636-3633,,Sober living home for women. Cost: $200/week AND $150 deposit 
23,34.41366620,-119.69846270,93101,Santa Barbara,Women's House(Sarah Ringler),,231 W Haley St,,CA,(805) 335-0708,,Sober living home for women. Cost: $200/week AND $150 deposit
24,34.42663170,-119.71565930,93101,Santa Barbara,,,1818 Bath Street,,CA,(805) 896-6865,,
25,34.44882810,-119.81820670,93111,Santa Barbara ,,,604 N. Kellog Avenue,,CA,(805) 683-2838,,
26,34.42363590,-119.68221450,93103,Santa Barbara,,,832 Jennings Street,,CA,(805) 965-2070,,
27,34.41718580,-119.71018380,93101,Santa Barbara,Downtown,,1121 Walnut Ave,,CA,(805) 698-4889,scott@allstarrecoverysb.com,Sober living home for men.Cost: $700/month OR $175/week
28,34.44205690,-119.79762530,93111,Santa Barbara,Uptown,,5018 Calle Real Road,,CA,(805) 698-4889,scott@allstarrecoverysb.com,
29,34.42953570,-119.72411690,93105,Santa Barbara,Cottage Hospital,,400 W. Pueblo Street,,CA,(805) 569-7253,kkaur@sbch.org,
30,34.41483000,-119.69755000,93101,Santa Barbara,Project Recovery Detox Center,,133 W. Haley Street,,CA,(805) 963-1836,,
31,34.42684700,-119.71054580,93101,Santa Barbara,Bethel House,,24 W. Arrellaga Street,,CA,,,12-step Christian based residential treatment facility for women. 24-bed availability. Bilingual.Cost: FREE
32,34.41915370,-119.68458920,93103,Santa Barbara,Men's Recovery,,535 E. Yanonali Street,,CA,(805) 966-1313,lchandler@sbrm.org,
33,34.41150100,-119.69720680,93101,Santa Barbara,Cottage Residential Center,,316 W. Montecito Street,,CA,(805) 569-7422,,The program provides medically supervised care and is open to men and women 18 years and older
34,34.41514520,-119.69648350,93101,Santa Barbara,,,423 Chapala Street,,CA,(805) 648-6295,,Residential treatment facility for men and women. Cost: FREE -- 70 bed transitional shelter. Goal is for each person  housed to obtain self-sufficiency by maintaining secure  income and finding stable housing. Call 805-962-6281
35,34.36000000,-119.30000000,93002,Ventura,,,P.O. Box 1064,,CA,(805) 648-3295,info@teenchallenge.org,
36,34.41782430,-119.70389470,93101,Santa Barbara,Adult Residential Treatment,,232 E. Canon Perdido Street,,CA,(805) 963-1836,,Residential treatment center for men and women with  addiction or co-occurring disorders. Cost: UNKNOWN 
39,34.42184440,-119.70411910,93101,Santa Barbara,,,26 W. Figueroa Street,,CA,(805) 963-8961,,
