id,name_english,name_spanish,website,languages_spoken_english,languages_spoken_spanish,customers_served_english,customers_served_spanish,notes_english,notes_spanish,categories_english,categories_spanish,tags_english,tags_spanish
2,Recovery Santa Barbara,Recuperacion Santa Barbara,https://recoverysantabarbara.com/,English,ingles,,,Co-ed sober living home. Provides full wrap around transitional services. Monthly commitment required. Cost: $39/day OR $1189/month ,Hogar mixto de vida sobria. Proporciona servicios de transicion completos. Se requiere compromiso mensual. Costo: $ 39 / dia O $ 1189 / mes,substance use,uso de sustancias,required<&&>english<&&>1532 castillo street<&&>services<&&>recovery santa barbara<&&>around<&&>sober living homes<&&>1189month<&&>commitment<&&>coed<&&>93101<&&>substance use<&&>drugs<&&>addiction<&&>wrap<&&>cost<&&>living<&&>recovery<&&>39day<&&>full<&&>transitional<&&>home<&&>provides<&&>monthly<&&>santa barbara<&&>alcohol<&&>sober,costo<&&>recuperacion<&&>envolver<&&>mixto<&&>alrededor<&&>mensual<&&>viviendo<&&>1189 meses<&&>ingles<&&>transicional<&&>93101<&&>casas de vida sobria<&&>completo<&&>casa<&&>1532 calle castillo<&&>proporciona<&&>uso de sustancias<&&>adiccion<&&>sobrio<&&>compromiso<&&>requerido<&&>recuperacion santa barbara<&&>santa barbara<&&>servicios<&&>39 dias<&&>alcohol<&&>drogas
6,The Giving Tree,El arbol que da,https://www.givingtreesbl.com/?__cf_chl_jschl_tk__=f181ed319a38d65f2deaa0fe287ad4a31d3a7496-1605812174-0-AdEefHXp2dPKCh2pWvqitGK-DqfZeK8WieAn1kW2u0kPUS5GDRd9om7mO634ANTXPU_y4UE11Yrajw-8wM0EGbPzvOzZWYoGdFgm3uaf3fAU6_5sJlQ_TzTIpq_kke6DChMtaMMghS1lmMyn4I_QV47C5nBsfQei7FvUO7rCRbhApDPCqlr6qg_B__P_0OaszkG5wNvP3wTmc6-Su7qkbmqpKHnnEiatiRrduiWEx44fgpcENLc4i3RuYPdSCiSlagHmr12oeCc9ipFkjgHUrkyDG-wAly3Re2NAd4rwUMrIvB90Y-6ukdLXDSr5_gNiVg,English,ingles,Women,Mujeres,28-bed sober living home for women. Daily 12-step  meetings required. Cost: $750/month AND $150 deposit ,Hogar de 28 camas para mujeres. Se requieren reuniones diarias de 12 pasos. Costo: $ 750 / mes Y deposito de $ 150,substance use<&&>women,uso de sustancias<&&>mujeres,women<&&>recovery<&&>93101<&&>substance use<&&>drugs<&&>addiction<&&>the giving tree<&&>327 e. victoria street<&&>english<&&>santa barbara<&&>sober living homes<&&>alcohol,93101<&&>recuperacion<&&>uso de sustancias<&&>el arbol de la donacion<&&>mujeres<&&>hogares para vivir sobrios<&&>adiccion<&&>santa barbara<&&>327 e. victoria street<&&>ingles<&&>alcohol<&&>drogas
7,Santa Barbara Lighthouse Foundation,Fundacion del faro de Santa Barbara,http://www.sblighthouse.org/,English,ingles,Men,Pero,Sober living home for men. 12-step program required.  Work or higher education required. Cost: $26/day<&&> $182/week<&&> OR $728/month AND $150 deposit ,Hogar de vida sobria para hombres. Se requiere un programa de 12 pasos. Se requiere trabajo o educacion superior. Costo: $ 26 / dia<&&> $ 182 / semana<&&> O $ 728 / mes Y deposito de $ 150,substance use,uso de sustancias,deposit<&&>required<&&>26day<&&>english<&&>182week<&&>higher<&&>150<&&>men<&&>work<&&>12step<&&>sober living homes<&&>program<&&>93103<&&>substance use<&&>drugs<&&>addiction<&&>728month<&&>cost<&&>living<&&>recovery<&&>721 spring street<&&>home<&&>santa barbara lighthouse foundation<&&>education<&&>santa barbara<&&>alcohol<&&>sober,educacion<&&>costo<&&>recuperacion<&&>12 pasos<&&>hogares para vivir sobrios<&&>728 meses<&&>superior<&&>150<&&>programa<&&>deposito<&&>ingles<&&>93103<&&>721 primavera calle<&&>casa<&&>vivo<&&>26 dias<&&>182 semana<&&>uso de sustancias<&&>trabajo<&&>santa barbara lighthouse foundation<&&>adiccion<&&>sobrio<&&>requerido<&&>hombres<&&>santa barbara<&&>alcohol<&&>drogas
9,Back to Basics,Volver a lo basico,http://backtobasicsequineassistedrecovery.com/,English,ingles,Women,Mujeres,Sober living home for women. Equine assisted recovery  for up to 14 women. 12-step program required. Cost: UNKNOWN ,Hogar de vida sobria para mujeres. Recuperacion asistida por equinos para hasta 14 mujeres. Se requiere un programa de 12 pasos. Costo: DESCONOCIDO,substance use<&&>women,uso de sustancias<&&>mujeres,women<&&>required<&&>alcohol<&&>equine<&&>1107 san andres street<&&>english<&&>93455<&&>993 patterson road<&&>2800 harris<&&>orcutt<&&>12step<&&>sober living homes<&&>93436<&&>program<&&>93101<&&>assisted<&&>substance use<&&>drugs<&&>addiction<&&>cost<&&>lompoc<&&>living<&&>recovery<&&>home<&&>back to basics<&&>unknown<&&>santa barbara<&&>14<&&>sober,costo<&&>recuperacion<&&>alcohol<&&>12 pasos<&&>asistido<&&>93455<&&>993 patterson road<&&>desconocido<&&>2800 harris<&&>orcutt<&&>programa<&&>regreso a lo basico<&&>hogares para vivir sobrio<&&>93436<&&>ingles<&&>93101<&&>mujeres<&&>vivo<&&>lompoc<&&>equino<&&>1107 calle san andres<&&>uso de sustancias<&&>adiccion<&&>drogas<&&>sobrio<&&>requerido<&&>santa barbara<&&>14<&&>hogar
10,New House,Nueva casa,https://sbnewhouse.org/,English,ingles,Men,Pero,Sober living and transitional home for men. 12-step program and sponsor required.Cost: $210/week<&&> meals included. No minimum stay.,Vivienda sobria y transitoria para hombres. Se requiere un programa de 12 pasos y un patrocinador. Costo: $ 210 / semana<&&> comidas incluidas. Sin estancia minima.,substance use,uso de sustancias,english<&&>new house<&&>minimum<&&>2434 bath street<&&>men<&&>12step<&&>sober living homes<&&>2021 castillo street<&&>sponsor<&&>included<&&>stay<&&>program<&&>227 w. haley street<&&>93101<&&>substance use<&&>alcoholics anonymous<&&>drugs<&&>addiction<&&>210week<&&>93105<&&>living<&&>meals<&&>recovery<&&>transitional<&&>home<&&>requiredcost<&&>santa barbara<&&>alcohol<&&>sober,costo requerido<&&>recuperacion<&&>2434 bath street<&&>210 semana<&&>casa nueva<&&>alcoholicos anonimos<&&>12pasos<&&>programa<&&>patrocinador<&&>hogares para vivir sobrio<&&>ingles<&&>227 w. haley street<&&>transicional<&&>93101<&&>vivo<&&>estadia<&&>2021 calle castillo<&&>93105<&&>comidas<&&>incluido<&&>minimo<&&>uso de sustancias<&&>adiccion<&&>drogas<&&>sobrio<&&>hombres<&&>santa barbara<&&>alcohol<&&>hogar
14,Casa Serena,Casa Serena,https://casaserena.org/,English,ingles,Women with Children,Mujeres con ninos,Sober living home for women with children. Cost: $1650/month with a 1 year commitment ,Hogar de vida sobria para mujeres con hijos. Costo: $ 1650 / mes con un compromiso de 1 ano,substance use<&&>women,uso de sustancias<&&>mujeres,women<&&>wed<&&>english<&&>tue<&&>1515 bath street<&&>year<&&>thu<&&>sober living homes<&&>93101<&&>commitment<&&>substance use<&&>alcoholics anonymous<&&>drugs<&&>addiction<&&>cost<&&>casa serena<&&>living<&&>recovery<&&>santa barbara<&&>home<&&>children<&&>women with children<&&>alcohol<&&>sober<&&>1650month,costo<&&>recuperacion<&&>1650 meses<&&>mie<&&>mujeres con ninos<&&>mar<&&>sustancia usar<&&>ninos<&&>1515 bath street<&&>hogares de vida sobria<&&>alcoholicos anonimos<&&>ano<&&>ingles<&&>93101<&&>mujeres<&&>vivo<&&>casa serena<&&>jue<&&>adiccion<&&>sobrio<&&>compromiso<&&>santa barbara<&&>alcohol<&&>drogas
15,CalWORKS Welfare to Work Program ,Programa CalWORKS Welfare to Work,https://www.countyofsb.org/dss/services/cash-aid/calworks.sbc,English,ingles,,,Provides assessment and case management services to assist adults in developing goals and a plan to obtain employmentProvides transitional support such as subsidized childcare<&&> transportation assistance<&&> and work or training related expenses,Brinda servicios de evaluacion y administracion de casos para ayudar a los adultos a desarrollar metas y un plan para obtener empleo Brinda apoyo de transicion<&&> como cuidado infantil subsidiado<&&> asistencia de transporte y gastos relacionados con el trabajo o la capacitacion,employment,empleo,lompoc<&&>hire<&&>related<&&>temp<&&>plan<&&>business<&&>foals<&&>time<&&>english<&&>gig<&&>case<&&>jobs<&&>support<&&>assist<&&>employmentprovides<&&>services<&&>subsidized<&&>hiring<&&>work<&&>93110<&&>calworks welfare to work program<&&>management<&&>expenses<&&>childcare<&&>93436<&&>training<&&>234 camino del remedio<&&>santa barbara<&&>adults<&&>assistance<&&>assessment<&&>developing<&&>santa maria<&&>obtain<&&>93454<&&>trade<&&>1444 s. broadway<&&>1100 w laurel avenue<&&>full<&&>transitional<&&>employment<&&>provides<&&>job<&&>transportation,ingles<&&>puericultura<&&>contratacion<&&>trabajos<&&>planificar<&&>1444 s. Broadway<&&>evaluacion<&&>potros<&&>servicios<&&>gestion<&&>concierto<&&>empleo proporciona<&&>93110<&&>cuidado de ninos<&&>93436<&&>temporal<&&>234 camino del remedio<&&>caso<&&>transicional<&&>empleo<&&>negocio<&&>transporte<&&>relacionados<&&>completo<&&>gastos<&&>lompoc<&&>Calworks programa de bienestar para trabajar<&&>capacitacion<&&>santa maria<&&>93454<&&>1100 w laurel avenue<&&>tiempo<&&>comercio<&&>proporciona<&&>trabajo<&&>subsidiado<&&>en desarrollo<&&>asistencia<&&>ayudar<&&>adultos<&&>santa barbara<&&>apoyo<&&>obtener
826,Cornerstone Sober Living,Cornerstone Vida sobria,https://sbrm.org/programs/sober-living-club,English,ingles,Men,Pero,Sober living home for men. Cost: $150/week OR $606/month AND $150 deposit ,Hogar de vida sobria para hombres. Costo: $ 150 / semana O $ 606 / mes Y deposito de $ 150,substance use,uso de sustancias,deposit<&&>606month<&&>english<&&>150<&&>men<&&>sober living homes<&&>150week<&&>93103<&&>cornerstone sober living<&&>substance use<&&>drugs<&&>addiction<&&>cost<&&>living<&&>recovery<&&>535 e. yanonali street<&&>home<&&>santa barbara<&&>alcohol<&&>sober,costo<&&>recuperacion<&&>hogares para vivir sobrios<&&>piedra angular vida sobria<&&>150 semanas<&&>150<&&>deposito<&&>ingles<&&>93103<&&>606 meses<&&>vivo<&&>hogar<&&>uso de sustancias<&&>535 e. calle yanonali<&&>adiccion<&&>sobrio<&&>hombres<&&>santa barbara<&&>alcohol<&&>drogas
827,Stalwart Recovery,Recuperacion incondicional,https://www.stalwartrecovery.org/santa-barbara-sober-living/,English,ingles,,,Providing a supportive and healthy housing environment for residents who are committed and active in their recovery while gradually transitioning to everyday life with the realization that they can live and succeed in their community. Cost: $39/day OR $1189/month,Brindar un ambiente de vivienda saludable y de apoyo para los residentes que estan comprometidos y activos en su recuperacion mientras hacen una transicion gradual a la vida cotidiana con la conciencia de que pueden vivir y tener exito en su comunidad. Costo: $ 39 / dia O $ 1189 / mes,substance use,uso de sustancias,residents<&&>healthy<&&>alcohol<&&>community<&&>p.o. box 446<&&>1227 san andres st<&&>succeed<&&>english<&&>23 w mission st<&&>environment<&&>every<&&>231 w haley st<&&>providing<&&>active<&&>sober living homes<&&>transitioning<&&>realization<&&>1189month<&&>93101<&&>93103<&&>santa barbara<&&>supportive<&&>substance use<&&>drugs<&&>addiction<&&>cost<&&>stalwart recovery<&&>can<&&>live<&&>recovery<&&>39day<&&>life<&&>93102<&&>committed<&&>gradually<&&>731 e haley st<&&>day<&&>housing,po box 446<&&>costo<&&>recuperacion<&&>saludable<&&>vida<&&>transicion<&&>activo<&&>1227 san andres st<&&>tener exito<&&>23 w mission st<&&>231 w haley st<&&>comunidad<&&>hogares de vida sobria<&&>vivir<&&>comprometido<&&>gradualmente<&&>cada<&&>dia<&&>vivienda<&&>poder<&&>1189 meses<&&>ingles<&&>93103<&&>residentes<&&>93101<&&>recuperacion incondicional<&&>ambiente<&&>de apoyo<&&>realizacion<&&>proporcionando<&&>93102<&&>uso de sustancias<&&>adiccion<&&>731 e haley st<&&>santa barbara<&&>39 dias<&&>alcohol<&&>drogas
830,Guydance House,Casa Guydance,,English,ingles,Men,Pero,Sober living home for men. 12-step program and sponsor required.Cost: $600/month AND $175 deposit,Hogar de vida sobria para hombres. Se requiere un programa de 12 pasos y un patrocinador. Costo: $ 600 / mes Y deposito de $ 175,substance use,uso de sustancias,175<&&>deposit<&&>english<&&>guydance house<&&>men<&&>12step<&&>sober living homes<&&>sponsor<&&>program<&&>93101<&&>600month<&&>substance use<&&>drugs<&&>addiction<&&>1818 bath street<&&>living<&&>recovery<&&>home<&&>requiredcost<&&>santa barbara<&&>alcohol<&&>sober,costo requerido<&&>recuperacion<&&>175<&&>12 pasos<&&>hogares para vivir sobrios<&&>programa<&&>patrocinador<&&>deposito<&&>ingles<&&>93101<&&>600 meses<&&>vivo<&&>1818 bath street<&&>hogar<&&>casa guydance<&&>uso de sustancias<&&>adiccion<&&>sobrio<&&>hombres<&&>santa barbara<&&>alcohol<&&>drogas
